,ell,Cl
2039,2039,2.551892376766432e-09
2040,2040,2.9145535873754276e-09
2041,2041,2.51288693211659e-09
2042,2042,2.764868850861154e-09
2043,2043,2.68019244317834e-09
2044,2044,2.427295673987539e-09
2045,2045,2.789471030461897e-09
2046,2046,2.7379420716863447e-09
2047,2047,2.7281405016229406e-09
2048,2048,2.8462755683255587e-09
2049,2049,2.60897259943805e-09
2050,2050,2.697120470356792e-09
2051,2051,2.8373681109878937e-09
2052,2052,2.396292810550884e-09
2053,2053,2.663189796835456e-09
2054,2054,2.382423863249726e-09
2055,2055,2.789833197809038e-09
2056,2056,2.604112047484386e-09
2057,2057,2.45853696536039e-09
2058,2058,2.679579850473281e-09
2059,2059,2.6883394344178505e-09
2060,2060,2.88776592568405e-09
2061,2061,2.489582075392609e-09
2062,2062,2.685156115112847e-09
2063,2063,2.631915205278235e-09
2064,2064,2.5449441462462393e-09
2065,2065,2.7090496502863457e-09
2066,2066,2.728330925532781e-09
2067,2067,2.6729000188091567e-09
2068,2068,2.7497304911239624e-09
2069,2069,2.649167874947667e-09
2070,2070,2.9331398279468326e-09
2071,2071,2.574736320129138e-09
2072,2072,2.3999702476690783e-09
2073,2073,2.7074401753032696e-09
2074,2074,2.4827917413248403e-09
2075,2075,2.593323339194873e-09
2076,2076,2.4014693870169836e-09
2077,2077,2.5923067442794777e-09
2078,2078,2.8836729277921915e-09
2079,2079,2.4676334951324255e-09
2080,2080,2.7395412954333214e-09
2081,2081,2.488610186060398e-09
2082,2082,2.756157050879946e-09
2083,2083,2.578059029382723e-09
2084,2084,2.7574301987731403e-09
2085,2085,2.64151167206336e-09
2086,2086,2.8155594171407258e-09
2087,2087,2.508258811160166e-09
2088,2088,2.715646100240655e-09
2089,2089,2.4540382310285033e-09
2090,2090,2.6670159221958347e-09
2091,2091,2.8162056875066627e-09
2092,2092,2.542034589547073e-09
2093,2093,2.6161203360175746e-09
2094,2094,2.769817236387119e-09
2095,2095,2.548057597315037e-09
2096,2096,2.469232469489424e-09
2097,2097,2.6383397352616562e-09
2098,2098,2.812381759750316e-09
2099,2099,2.4268745426849487e-09
2100,2100,2.6003753441796547e-09
2101,2101,2.674889477853107e-09
2102,2102,2.5142871323178633e-09
2103,2103,2.4566592828411224e-09
2104,2104,2.46422681068773e-09
