ells,kap_cls
252,6.885571554782535e-08
253,6.94341904712016e-08
254,7.141159683701863e-08
255,7.150633471289601e-08
256,4.683655217408214e-08
257,7.064719261122103e-08
258,7.236799650439228e-08
259,7.308394348464688e-08
260,6.436910430043167e-08
261,4.918079863927089e-08
262,6.640984858162885e-08
263,5.257725909836503e-08
264,6.969883552511444e-08
265,6.395765016050696e-08
266,6.367318839566376e-08
267,6.36827578377756e-08
268,6.269932615173948e-08
269,6.41512736535703e-08
270,5.858676116658424e-08
271,6.46939981838866e-08
272,7.109035953170519e-08
273,5.377274581493357e-08
274,5.928553808112219e-08
275,5.372748117001143e-08
276,6.719662087944333e-08
277,6.218736212342075e-08
278,5.80120672396075e-08
279,6.202742833439547e-08
280,6.265186880512216e-08
281,4.688073606805556e-08
282,6.377363189535819e-08
283,5.514865450937287e-08
284,5.533587039943665e-08
285,5.1920173768062646e-08
286,4.849298162604742e-08
287,5.624155627325536e-08
288,5.221490973274719e-08
289,6.385050268712029e-08
290,4.2320814384734963e-08
291,5.29373713365327e-08
292,6.743601396983482e-08
293,5.352946845873128e-08
294,5.350879877117271e-08
295,4.621921157479771e-08
296,6.067104046366728e-08
297,4.6531562824466125e-08
298,6.462719016520746e-08
299,4.911261379414289e-08
300,5.2612886282918374e-08
301,5.340473908674018e-08
302,3.9189942616622466e-08
303,4.812509327787041e-08
304,4.852128388147595e-08
305,4.944923782060447e-08
306,5.444470906178497e-08
307,4.197239952812221e-08
308,4.560198527679469e-08
309,4.4400014148397775e-08
310,4.2032176207687216e-08
311,5.27559752478536e-08
312,4.405142906440387e-08
313,4.929667158360029e-08
314,5.175553692114462e-08
315,4.392869550646849e-08
316,3.553662686799622e-08
317,4.8843140077094604e-08
318,5.119328273280986e-08
319,6.640246115347982e-08
320,4.268040934514626e-08
321,5.410820003536025e-08
322,5.153220858688922e-08
323,4.7583641691942776e-08
324,5.023502450668435e-08
325,4.3781185293831404e-08
326,4.796519926621826e-08
327,4.911509653124359e-08
328,3.68492757528747e-08
329,4.5664124482697935e-08
330,4.236706464764646e-08
331,4.853954414618428e-08
332,4.346829569532555e-08
333,4.535789423911719e-08
334,4.0047483409832e-08
335,4.475771084048138e-08
336,4.169680991329793e-08
337,5.254959576819921e-08
338,4.8702203950407406e-08
339,4.3153770315012417e-08
340,4.783721479748734e-08
341,4.613603311312725e-08
342,4.696672290090295e-08
343,4.753659479298053e-08
344,4.5152180455099855e-08
345,3.8834848115293924e-08
346,5.1175410475759347e-08
347,4.6816280110997835e-08
348,5.032909911642524e-08
349,4.723934055458577e-08
350,3.7347330643689926e-08
351,4.947420326681003e-08
352,3.975804207121081e-08
353,4.2888647070556936e-08
354,4.361868570464858e-08
355,3.784747674600534e-08
356,4.8960184291979915e-08
357,3.5804109793064884e-08
358,4.256496371049597e-08
359,4.164768715074084e-08
360,4.480846279457794e-08
361,4.5285582656247086e-08
362,3.952783414021473e-08
363,3.904452122301318e-08
364,5.209055934430133e-08
365,4.254978956751325e-08
366,4.7514491248057555e-08
367,4.977497259363391e-08
368,3.8122515592595186e-08
369,3.876026627745836e-08
370,4.255394587989171e-08
371,3.8574221431540515e-08
372,4.2382507205792155e-08
373,4.329365472062339e-08
374,4.210870934444002e-08
375,3.418853419520181e-08
376,3.8281316708677936e-08
377,4.8270213987452236e-08
378,3.994676949968594e-08
379,5.1997106621926205e-08
380,3.9368989310280986e-08
381,3.524798119978022e-08
382,3.156612376345069e-08
383,3.94498166096271e-08
384,3.497960421217425e-08
385,4.385933046556626e-08
386,4.076557941440395e-08
387,4.119961331263855e-08
388,4.014299977056263e-08
389,3.8084094338277506e-08
390,4.036776653039564e-08
391,3.622387069698098e-08
392,3.912795369618357e-08
393,3.683110186664242e-08
394,3.5486066407722795e-08
395,4.589559619779051e-08
396,3.346390533195415e-08
397,4.2224624029141e-08
398,4.039800053694804e-08
399,3.3277489002900156e-08
400,3.8260716344643396e-08
401,3.9023682906269194e-08
402,3.892674468317801e-08
403,3.448154831289423e-08
404,3.773960764450063e-08
405,3.334563202533948e-08
406,2.9916196941051207e-08
407,3.2053966656692315e-08
408,2.994136907423859e-08
409,3.714648808588648e-08
410,3.757978369689136e-08
411,3.554848112974934e-08
412,3.5977537051235456e-08
413,3.281051623743986e-08
414,4.5741109492190296e-08
415,3.178368245326465e-08
416,3.485021282938878e-08
417,2.8682557494347358e-08
418,3.962311051618273e-08
419,4.083091726271854e-08
420,2.842513088668014e-08
421,4.113123454703646e-08
422,4.038936811673028e-08
423,2.988971793573687e-08
424,3.330115001894785e-08
425,2.6675859463922028e-08
426,3.56057676343209e-08
427,3.654065834565254e-08
428,3.2269604581099333e-08
429,3.399235215041432e-08
430,3.350496176934464e-08
431,3.5101480333001837e-08
432,2.8513549216910022e-08
433,2.984788082574287e-08
434,3.452324459217745e-08
435,2.99631725487949e-08
436,3.655363502272401e-08
437,3.221176165202837e-08
438,3.53366051093713e-08
439,3.082591568836514e-08
440,3.372808071296351e-08
441,3.905958024856512e-08
442,3.6337517450384345e-08
443,3.10816739553836e-08
444,3.776773343509323e-08
445,3.218153307255341e-08
446,3.0000088776459994e-08
447,2.972216604302388e-08
448,3.110373870145991e-08
449,3.415413708548877e-08
450,2.6541643232553606e-08
451,3.3903357526313346e-08
452,3.4611311434477975e-08
453,3.7101597433282966e-08
454,3.13558464075548e-08
455,3.0465035973121785e-08
456,3.1234230842416413e-08
457,3.035554365899148e-08
458,2.9047271515547678e-08
459,3.160095955634221e-08
460,2.7424337547275438e-08
461,3.047953270099895e-08
462,3.0980803988482e-08
463,3.404558676016495e-08
464,2.8003822930995214e-08
