,ell,ksz_cl
206,206,0.00025271923461041805
207,207,0.000257881406950985
208,208,0.00022439075714722755
209,209,0.00019987240557059265
210,210,0.0002129897786307438
211,211,0.0001967709263911612
212,212,0.00020936319917854552
213,213,0.0002060737487596147
214,214,0.0002273512810589292
215,215,0.00020960726191854162
216,216,0.00022212904255493373
217,217,0.00020048415272552297
218,218,0.00019666548688215244
219,219,0.0002052279181097192
220,220,0.000183277757498053
221,221,0.00019587202476521368
222,222,0.00020616260036174184
223,223,0.00017415761266184916
224,224,0.00017487331774817776
225,225,0.000197533129520277
226,226,0.0001643602150202058
227,227,0.00019478812905610998
228,228,0.00019961206719205286
229,229,0.00019157796896445992
230,230,0.00017333062532064536
231,231,0.0001732108946279111
232,232,0.0001671126565277989
233,233,0.00016841930186733476
234,234,0.000195244367216739
