L,input_kappa,cross_wksz_g,cross_wksz_g_err,cross_wksz,cross_wksz_err,cross_bias,cross_bias_err
1420.0,5.794082289305183e-09,5.39219693870299e-09,2.2345031543869973e-09,5.386104791604329e-09,2.1821892183154323e-09,0.0054612193978537575,0.054070450496506495
1460.0,5.601959808278747e-09,5.4132928761671325e-09,2.54182323078503e-09,5.390734211421681e-09,2.561451235395886e-09,0.09198215349387666,0.48179911584950497
1500.0,5.306480341312951e-09,5.8343500699811245e-09,2.1961100658887534e-09,5.851400492892037e-09,2.211541016194233e-09,0.0011808421106917152,0.026530419960167792
1540.0,5.086761352368109e-09,5.071470366132519e-09,1.762365955196885e-09,5.062894286884246e-09,1.7389403033824475e-09,-0.007630550779816275,0.04447606853223418
1580.0,4.799512387022483e-09,4.817238891800357e-09,1.7203914446312568e-09,4.793102550569745e-09,1.7259573724757954e-09,-0.005736949215682491,0.040785633203830274
1620.0,4.7369984516045e-09,5.408111563931884e-09,1.9198526149065525e-09,5.411405642231121e-09,1.9406795787706237e-09,-0.000102612508441262,0.032718258659001666
1660.0,4.496451048637245e-09,4.7078907854521105e-09,2.1101210770627362e-09,4.7084430747504885e-09,2.1745397712231e-09,0.010470206765773081,0.10682793210103851
1700.0,4.343563001463143e-09,4.0372429371272645e-09,2.438889853181053e-09,4.078162105443857e-09,2.4608689657321635e-09,0.016858837418203643,0.11115030339392477
1740.0,4.212251550432025e-09,4.067980934878431e-09,1.8847501289787464e-09,4.091742359629946e-09,1.9268010707833392e-09,0.09308151131728777,0.45423228514534664
1780.0,4.008197991740489e-09,4.011056740480411e-09,1.8334867081556293e-09,4.038813259778209e-09,1.8359646813060701e-09,0.00532895449737586,0.04955024668949753
1820.0,3.904226721206482e-09,3.5868691929556362e-09,1.8608218236084913e-09,3.598999336093532e-09,1.8391396767413951e-09,0.026632181990540776,0.298495710115515
1860.0,3.735826905452725e-09,4.34590652753786e-09,1.651231985420739e-09,4.330292638731183e-09,1.676441207062981e-09,-0.008033646162857937,0.03797332687844128
1900.0,3.639899619343474e-09,3.349605534680439e-09,1.4580304825873714e-09,3.3433501527953924e-09,1.485928999818066e-09,0.0017101853488938623,0.06448980086964083
1940.0,3.513653250999939e-09,3.256700166011338e-09,2.2960253847829693e-09,3.3044812589080893e-09,2.3139762257626576e-09,0.6130424547468067,2.348630990463848
1980.0,3.383521956638791e-09,3.01179777779434e-09,1.4319635048318769e-09,3.0031210785208386e-09,1.4427656726262562e-09,0.4332106142235277,2.0428041524850835
2020.0,3.2668912973047797e-09,2.608488665162855e-09,1.768550174299462e-09,2.625816893742104e-09,1.735264124081634e-09,-0.011956857171753188,0.06741928168896452
2060.0,3.1861133632940217e-09,3.0848111331794102e-09,1.8255428719644692e-09,3.095747396065748e-09,1.8312539331634997e-09,-0.1389015616086321,0.6096306215648534
2100.0,3.073597905276897e-09,2.7018253460639472e-09,1.5696869020847588e-09,2.7144272080145005e-09,1.6094043518884238e-09,1.0036185555032666,4.79919448809353
2140.0,2.9932311465283697e-09,2.292527370094431e-09,1.4164754933890713e-09,2.3007619745819e-09,1.4257321561519437e-09,0.022252504934582387,0.1612809280502177
2180.0,2.917663433576494e-09,2.838199531751352e-09,1.6801855263587674e-09,2.8511737857423375e-09,1.700355757065827e-09,-0.0009774759333848403,0.07185744427478524
2220.0,2.83803760946429e-09,2.2204818174057126e-09,1.5058945097364905e-09,2.2818276988597008e-09,1.5210871573919654e-09,0.035180515808457664,0.09799790046467827
2260.0,2.7360942982037727e-09,2.8330735808875684e-09,1.5956496462567458e-09,2.8156747713466414e-09,1.6224654174813316e-09,-0.010183874230377124,0.06804278570451325
2300.0,2.6541251601059364e-09,2.7634107303112245e-09,1.9275048330478e-09,2.726547781957568e-09,1.941352941237524e-09,0.005580947094916762,0.1284315769199676
2340.0,2.5998774184581982e-09,2.6044555519383246e-09,1.376714181105858e-09,2.659691941146991e-09,1.3410051358147392e-09,0.029538347862199072,0.08858833617683079
2380.0,2.5343071542752644e-09,2.672812929052468e-09,1.5998580025069736e-09,2.6508011768317538e-09,1.5648478826162495e-09,0.004658048176666482,0.10676372856243906
2420.0,2.4530935728847707e-09,2.36875690041683e-09,1.946982942930573e-09,2.3807223172546025e-09,1.9211417278916327e-09,0.020069299013384247,0.08628580238093739
2460.0,2.394091794698627e-09,2.4611050643105915e-09,1.1514197959494581e-09,2.4956080314489867e-09,1.1787669261598035e-09,0.020470807795193755,0.05155892174165727
2500.0,2.353422747553158e-09,2.062319499727384e-09,1.840484458865155e-09,2.086076511403286e-09,1.8216881679259923e-09,0.13493673214382726,0.4104722198581109
2540.0,2.2868955448405596e-09,1.8285755574015101e-09,1.7479649595491843e-09,1.866684640404742e-09,1.7203522091600765e-09,0.041901933059846165,0.19986707362623413
2580.0,2.236736097946141e-09,2.444946276579217e-09,1.4677337229103474e-09,2.4723047453609727e-09,1.5011877651185463e-09,-0.024972875347127933,0.10319931871996962
2620.0,2.1750473096143974e-09,1.86502602510876e-09,2.039592150228918e-09,1.8833718450819526e-09,2.0631328508839117e-09,-0.03943459041453756,0.3989653429264876
2660.0,2.127575126992249e-09,1.919515066255456e-09,1.6293577279446575e-09,1.9279040795059886e-09,1.6275856696776977e-09,0.19991951737730476,1.0122147738595575
2700.0,2.0584573695263643e-09,2.3494037761562675e-09,1.9392872426110568e-09,2.379069558022776e-09,1.964200025981413e-09,0.018870199252171132,0.05922462519329293
2740.0,2.029498496311344e-09,1.5564363967194566e-09,1.4560883145635941e-09,1.5919674219903919e-09,1.4341065326219425e-09,0.09708613139382243,0.5452600032882556
2780.0,1.979156406128934e-09,1.6908204883878778e-09,1.5763217854627345e-09,1.7090899783217803e-09,1.5539105647201038e-09,-0.00996553926990986,0.19912296115949613
2820.0,1.933592279070031e-09,2.60534081848982e-09,1.751366076622669e-09,2.61878415723925e-09,1.7589608941311227e-09,-0.05094599734872358,0.19364953725669856
2860.0,1.8804610716355445e-09,2.007147727890566e-09,1.3109886541946565e-09,1.976741224371639e-09,1.320981163676665e-09,0.02351809067793484,0.18075574962562338
2900.0,1.8380934908315074e-09,1.3192001317639605e-09,1.594977703067754e-09,1.2834571679231195e-09,1.5801883157119462e-09,-0.055828261569434545,0.34261832081438026
