ell,Cl
130,1.1024058200276447e-07
131,1.132272601203168e-07
132,1.1521564285229477e-07
133,1.002800762462073e-07
134,1.3645550769612294e-07
135,1.3429586497082351e-07
136,1.8038580760297438e-07
137,7.01098556287146e-08
138,1.0247511495425334e-07
139,1.0439936281282128e-07
140,1.0153822747078243e-07
141,1.1789368823664433e-07
142,1.1881190106615489e-07
143,1.1644972281677866e-07
144,1.307382254361633e-07
145,1.1158424148902655e-07
146,1.3511456549125196e-07
147,1.4866352720713674e-07
148,1.3472184522861038e-07
149,1.4497875685259576e-07
150,1.6292242011565223e-07
151,1.0469735240989344e-07
152,1.3704510308183648e-07
153,1.0036170502222563e-07
154,1.317110536870795e-07
155,7.936851221727565e-08
156,1.3225628188019606e-07
157,1.3580133770065154e-07
158,1.214859485764062e-07
159,9.809122065278835e-08
160,1.1135461928521528e-07
161,9.627427768433375e-08
162,1.3306787048829794e-07
163,6.30642746103392e-08
164,1.0506988518753757e-07
165,9.526512948544828e-08
166,1.5613035454117043e-07
167,1.0237129475684873e-07
168,7.827319772640752e-08
169,1.0270935350743882e-07
170,9.287495855607914e-08
171,6.189220697732013e-08
172,1.0142395779529781e-07
173,1.0167097987854263e-07
174,9.901419157543532e-08
175,7.942936083036663e-08
176,1.0807593534419316e-07
177,6.06951150260203e-08
178,1.2442114863453004e-07
179,8.890968957620035e-08
180,8.690550317285008e-08
181,1.0274721443843444e-07
182,1.0691597597057453e-07
183,1.0214866173418228e-07
184,1.1018188200411921e-07
185,8.459319651051853e-08
186,1.1123882021752795e-07
187,8.898662547375862e-08
188,9.061600094668769e-08
189,6.607669756679084e-08
190,9.855144065030634e-08
191,9.232445376265779e-08
192,8.826292633789797e-08
193,1.0824651863395374e-07
194,8.325656537152543e-08
195,7.316392688282629e-08
196,9.969418518183796e-08
197,8.61591979872259e-08
198,6.900899850356768e-08
199,7.768410123023693e-08
200,8.141856269887967e-08
201,8.637083225111031e-08
202,8.572947658329289e-08
203,7.514182443468279e-08
204,7.369272732078215e-08
205,8.05925099395361e-08
206,6.142770524458841e-08
207,8.519513604741692e-08
208,8.01761532607749e-08
209,8.720201230848923e-08
210,1.1114939389033238e-07
211,8.48914734949825e-08
212,6.477280707299437e-08
213,8.638117251680115e-08
214,5.813846465156291e-08
215,7.33804507203494e-08
216,7.393519508938605e-08
217,6.844208666557488e-08
218,7.829790439242833e-08
219,7.31092478427847e-08
220,8.697735882080775e-08
221,8.420765606354626e-08
222,8.306792664279321e-08
223,6.472618101481921e-08
224,6.072595966052047e-08
225,5.664092370869529e-08
226,7.993239550043863e-08
227,7.730972643196193e-08
228,6.248433320879326e-08
229,8.216287870738793e-08
230,6.78040383505436e-08
231,6.731602200755726e-08
232,5.8965870615376614e-08
233,6.732229757749445e-08
234,8.849758445354847e-08
235,7.177143012632644e-08
236,7.916447543195136e-08
237,6.144472295253531e-08
238,7.249303404515562e-08
239,5.935593770485709e-08
240,7.909815768185866e-08
241,5.7941339536073045e-08
242,7.872537806788427e-08
243,5.5880010899059846e-08
244,6.503547816808757e-08
245,6.65295799979244e-08
246,6.651235933233273e-08
247,9.827849123867637e-08
248,7.844116137245266e-08
249,6.203121420457377e-08
250,8.188931010671109e-08
251,6.059421710111252e-08
252,6.9403255172538e-08
253,6.998416167621629e-08
254,7.197509582744434e-08
255,7.20682675861342e-08
256,4.7203171245651626e-08
257,7.119804638077859e-08
258,7.293002304881562e-08
259,7.364938729135052e-08
260,6.486513377168419e-08
261,4.955838625063213e-08
262,6.691772795986253e-08
263,5.297784649865039e-08
264,7.02278224446925e-08
265,6.444125934751018e-08
266,6.415284497645293e-08
267,6.41606760588866e-08
268,6.316805385984298e-08
269,6.462912121729283e-08
270,5.9021572262699036e-08
271,6.517232452005911e-08
272,7.16140951958007e-08
273,5.416740537941599e-08
274,5.971912253704307e-08
275,5.411893651638304e-08
276,6.768439899889603e-08
277,6.263717815098027e-08
278,5.8430119094498995e-08
279,6.247286821348252e-08
280,6.310024361365951e-08
281,4.72150008244886e-08
282,6.422680774375893e-08
283,5.5539086190858016e-08
284,5.5726233897982115e-08
285,5.2285165447440176e-08
286,4.883270796529508e-08
287,5.6634166710853504e-08
288,5.257810256639135e-08
289,6.429313905683798e-08
290,4.2613198364776065e-08
291,5.330182628926589e-08
292,6.78986712615632e-08
293,5.3895481335789984e-08
294,5.38734051218182e-08
295,4.6533093175845274e-08
296,6.108169356860664e-08
297,4.684543447810732e-08
298,6.506164924283982e-08
299,4.944167661230954e-08
300,5.296415008338619e-08
301,5.3760177609181655e-08
302,3.944987101757068e-08
303,4.844327563338405e-08
304,4.884102557607354e-08
305,4.9774026846640474e-08
306,5.480118383388072e-08
307,4.2246281081426e-08
308,4.589855870765842e-08
309,4.468785662838031e-08
310,4.230377604909835e-08
311,5.3095786541316706e-08
312,4.433431112383806e-08
313,4.961216987806038e-08
314,5.208569769973064e-08
315,4.420805023931225e-08
316,3.5761881310571557e-08
317,4.9151784370283834e-08
318,5.151582145745939e-08
319,6.681943025523147e-08
320,4.294756317516778e-08
321,5.444584797061111e-08
322,5.1852783880629366e-08
323,4.7878733081333333e-08
324,5.054561156499134e-08
325,4.405102174595711e-08
326,4.8259928184612644e-08
327,4.9415952245265545e-08
328,3.7074270393769026e-08
329,4.59421395142971e-08
330,4.2624244315041004e-08
331,4.883327840207405e-08
332,4.373050962106362e-08
333,4.563072271371583e-08
334,4.028761902770306e-08
335,4.502532104635727e-08
336,4.194539848407241e-08
337,5.286192413037131e-08
338,4.899081764495604e-08
339,4.340873844156732e-08
340,4.8118989621595183e-08
341,4.6407023145680334e-08
342,4.724178082715191e-08
343,4.781417945426341e-08
344,4.541509788432418e-08
345,3.906030355801117e-08
346,5.1471653130507314e-08
347,4.7086502773180856e-08
348,5.0618756614488105e-08
349,4.7510441659409285e-08
350,3.756104568177186e-08
351,4.975650756799832e-08
352,3.998424753125522e-08
353,4.31319861791008e-08
354,4.38654831714337e-08
355,3.8061003668777104e-08
356,4.923562793724915e-08
357,3.600497277997134e-08
358,4.28031208983174e-08
359,4.188002999010953e-08
360,4.505782278515157e-08
361,4.5536820031651095e-08
362,3.9746546158800975e-08
363,3.9259938773545615e-08
364,5.237718940464261e-08
365,4.27832590583718e-08
366,4.77745217556008e-08
367,5.00465964942364e-08
368,3.8329980628327174e-08
369,3.897063284729859e-08
370,4.278427814082097e-08
371,3.8782448403576716e-08
372,4.261070648299897e-08
373,4.352610406173208e-08
374,4.233417452335682e-08
375,3.437111623250358e-08
376,3.8485198555422546e-08
377,4.8526630172463845e-08
378,4.0158425725320316e-08
379,5.2271859903587204e-08
380,3.957646550255391e-08
381,3.543325183015541e-08
382,3.1731615909925185e-08
383,3.9656090071075584e-08
384,3.5161976822703355e-08
385,4.408746781394179e-08
386,4.0977062640836154e-08
387,4.141280676579466e-08
388,4.035022903580778e-08
389,3.82801513283688e-08
390,4.057508347267232e-08
391,3.640939493493732e-08
392,3.932782420780312e-08
393,3.7018775976192296e-08
394,3.566642149904435e-08
395,4.612827272942364e-08
396,3.3633120191589045e-08
397,4.243761042780435e-08
398,4.060128181773118e-08
399,3.344450188607191e-08
400,3.845224545227668e-08
401,3.921855709421569e-08
402,3.9120648667108264e-08
403,3.4652886006544715e-08
404,3.792667808791369e-08
405,3.351050517688455e-08
406,3.006375981862448e-08
407,3.2211673073238885e-08
408,3.0088374133069615e-08
409,3.732835565630396e-08
410,3.776334552233471e-08
411,3.57216777917567e-08
412,3.6152411272974116e-08
413,3.296959769205026e-08
414,4.596238089342199e-08
415,3.1937042649278326e-08
416,3.5017903338422705e-08
417,2.8820287455927413e-08
418,3.981289603946762e-08
419,4.1026046360719444e-08
420,2.8560623477752406e-08
421,4.132686484997178e-08
422,4.058098536750152e-08
423,3.003120856480924e-08
424,3.345840045309591e-08
425,2.680153981979576e-08
426,3.577317371347482e-08
427,3.6712009748309296e-08
428,3.242056016685149e-08
429,3.415101045168981e-08
430,3.3660995663730896e-08
431,3.526455368154904e-08
432,2.864565692231319e-08
433,2.998590625205411e-08
434,3.468247909796666e-08
435,3.0101094078750946e-08
436,3.672152653906891e-08
437,3.2359352819121887e-08
438,3.5498132749168865e-08
439,3.0966512042235927e-08
440,3.3881557446988636e-08
441,3.92369206707166e-08
442,3.650213410650435e-08
443,3.1222156032238024e-08
444,3.793807219810745e-08
445,3.232633177382089e-08
446,3.01347711359361e-08
447,2.98553002946309e-08
448,3.124276472526908e-08
449,3.43064399845218e-08
450,2.6659761433304325e-08
451,3.405387197257002e-08
452,3.4764600125344596e-08
453,3.726558275670988e-08
454,3.14941403950248e-08
455,3.0599095983759486e-08
456,3.137137231915264e-08
457,3.048853697574956e-08
458,2.9174274674313058e-08
459,3.173880431825253e-08
460,2.754369186887801e-08
461,3.0611908893558317e-08
462,3.111508877395833e-08
463,3.4192810789139376e-08
464,2.8124653752388467e-08
465,2.8152992695303675e-08
466,3.026501043229618e-08
467,2.873039814249643e-08
468,3.0503819564551984e-08
469,3.07014497520084e-08
470,3.490930143442683e-08
471,2.6207642663688438e-08
472,2.995733284687779e-08
473,2.962918235453148e-08
474,2.9218879028667522e-08
475,2.7687627421666398e-08
476,2.555520656260372e-08
477,2.5300179695730333e-08
478,3.1853864127886826e-08
479,2.7499986515598812e-08
480,2.908089880780053e-08
481,2.7050545253905973e-08
482,2.9782304249204285e-08
483,3.134321025968917e-08
484,2.921731894218297e-08
485,3.103598596330615e-08
486,2.9283271910919833e-08
487,3.383706597322073e-08
488,2.8024714667870956e-08
489,2.646610157778277e-08
490,2.8120658122614346e-08
491,2.7997782873489423e-08
492,2.5659362195861153e-08
493,2.543086484481928e-08
494,2.945907928965457e-08
495,2.8431637321636988e-08
496,2.4941124012067068e-08
497,2.5397307892593596e-08
498,2.5807385362271036e-08
499,2.898380550857151e-08
500,2.6844636623491105e-08
501,2.4829638808812483e-08
502,2.4320239131348756e-08
503,2.2032360918368577e-08
504,2.9109493111897613e-08
505,2.884137719429492e-08
506,2.7810858898019723e-08
507,2.770645137459612e-08
508,2.7174919225443124e-08
509,2.7310611982935884e-08
510,2.75942144725087e-08
511,2.9044170897233364e-08
512,2.3117028450328944e-08
513,2.1519469456718117e-08
514,2.4008486886768644e-08
515,2.568972709827807e-08
516,2.5832223925330963e-08
517,2.5349500660135503e-08
518,2.7219084186680894e-08
519,2.4639135372169432e-08
520,2.4224912333864818e-08
521,2.018470630200811e-08
522,2.5521472137902098e-08
523,2.5394268632224785e-08
524,2.4748897678590452e-08
525,2.0899148772804236e-08
526,2.7660151010262273e-08
527,2.2274671909207207e-08
528,2.478994682677022e-08
529,2.1339627066485652e-08
530,2.5132114935656035e-08
531,1.9444601001130708e-08
532,2.9307879755630682e-08
533,2.4167226451847816e-08
534,2.4429859261401212e-08
535,2.088218078840919e-08
536,2.5723493032483336e-08
537,2.4013035208114635e-08
538,2.5029214244012984e-08
539,3.079314569304264e-08
540,2.5705093991212034e-08
541,2.6041915089778043e-08
542,2.408761967007835e-08
543,2.3945728953899287e-08
544,2.6056669681089574e-08
545,2.1436464067277134e-08
546,2.4551273243052935e-08
547,2.3787983604250788e-08
548,2.2880233186747698e-08
549,2.334565475976259e-08
550,2.2628556248868227e-08
551,2.1111343649941307e-08
552,2.1519402485355968e-08
553,2.2782627960888558e-08
554,2.2550474656221616e-08
555,2.079149068454998e-08
556,1.7805942037498968e-08
557,2.220520415546798e-08
558,2.4182396933378478e-08
559,2.6479820521063496e-08
560,2.248843207516167e-08
561,2.208616398688453e-08
562,2.2218657688488207e-08
563,2.35206118779627e-08
564,2.374491176326502e-08
565,2.0635572427232834e-08
566,2.3975391656446382e-08
567,1.9096241473095584e-08
568,1.8516080124526593e-08
569,2.4816112937855223e-08
570,2.0610452291866185e-08
571,2.2254037939944194e-08
572,1.8966130797095403e-08
573,2.21035272929393e-08
574,1.9529498783211426e-08
575,2.221786520174534e-08
576,2.3751730847287692e-08
577,2.2514419651102666e-08
578,2.1088667067073105e-08
579,2.1097276953682067e-08
580,2.189639356752895e-08
581,2.222345512901044e-08
582,1.9984460103745773e-08
583,1.9640863010509617e-08
584,1.9512667518149288e-08
585,2.183709004134713e-08
586,2.434917289762134e-08
587,1.979000933917115e-08
588,1.799286405637177e-08
589,1.7826296866029582e-08
590,1.7455847742458457e-08
591,2.059844648858565e-08
592,1.7768495033847833e-08
593,2.2119342403277158e-08
594,2.159834691017336e-08
595,1.9758725603927778e-08
596,2.0297879437266292e-08
597,2.4727913582233326e-08
598,2.327183917852689e-08
599,1.688377618424465e-08
600,2.042997995750114e-08
601,2.0379404696354527e-08
602,1.824838077624803e-08
603,1.8977961388068698e-08
604,2.1350096711080086e-08
605,1.8399713652993045e-08
606,2.0282410635649692e-08
607,1.9356030125861318e-08
608,1.6550247949128527e-08
609,2.0595565956814226e-08
610,1.895204585251661e-08
611,2.030047929826848e-08
612,2.006989190244475e-08
613,1.962068392111682e-08
614,2.1458484685823097e-08
615,1.86610604914908e-08
616,1.701510780474785e-08
617,1.9333166142900035e-08
