ells,ksz_lt_cls
284,1.929399588210653e-05
285,2.1005422983633843e-05
286,1.638532572456311e-05
287,1.997407905729504e-05
288,1.3844454201033235e-05
289,1.6466006094161093e-05
290,1.5570176757207407e-05
291,1.674981169923099e-05
292,1.757576549370312e-05
293,1.955160159738283e-05
294,2.2362289552157676e-05
295,2.03212455877547e-05
296,2.1525612143281382e-05
297,1.5798724583441607e-05
298,2.0604582964683225e-05
299,1.9614028989082323e-05
300,2.6603433261186e-05
301,2.45693488936065e-05
302,2.0607738870459127e-05
303,2.0523268983482033e-05
304,2.1149960772866563e-05
305,2.4405677603498242e-05
306,2.1376199500210788e-05
307,2.050561986116239e-05
308,2.095003971686081e-05
309,2.1836245107306256e-05
310,2.1320053294707212e-05
311,1.900965440306767e-05
312,1.984527836395019e-05
313,2.8288053704959704e-05
314,2.200601481055552e-05
315,1.6001694637879692e-05
316,2.163577482632275e-05
317,1.9357009798686728e-05
318,1.6867898518344058e-05
319,1.7504786962326963e-05
320,1.4066621790068751e-05
321,2.4893701345652233e-05
322,2.58256414477545e-05
323,2.3141037180028974e-05
324,1.8039744583092277e-05
325,1.9388094054472467e-05
326,2.0544695153956688e-05
327,2.044713801774373e-05
328,2.1701719157251458e-05
329,1.7962236179404784e-05
330,2.2239225810597185e-05
331,2.6038431187443153e-05
332,1.8962639633096925e-05
333,2.3179630399090537e-05
334,2.47984587077442e-05
335,1.8472478296387124e-05
336,1.9604108239942722e-05
337,1.7975462411557317e-05
338,1.7296004705354977e-05
339,1.3526164683953407e-05
340,1.571203185753237e-05
341,1.5746014845532238e-05
342,2.3483495488506353e-05
343,1.759571455233444e-05
344,1.772697909346401e-05
345,1.7520934124593495e-05
346,2.5238615623854165e-05
347,1.9610128429620583e-05
348,1.8800148894700598e-05
349,1.7014868528632254e-05
350,1.8190648142310866e-05
351,2.61086892982271e-05
352,1.7024128643009875e-05
353,1.6281686104379594e-05
354,1.8596880974101977e-05
355,1.903944323242545e-05
356,1.792893222032747e-05
357,2.1295579667008538e-05
358,1.3750455923414597e-05
359,1.7669623051608797e-05
360,1.6584850740720837e-05
361,1.748308137124123e-05
362,1.7558567748504006e-05
363,1.8159592214056243e-05
364,1.6132223612247233e-05
365,2.017641679197123e-05
366,1.2607664195049258e-05
367,1.8736397483411614e-05
368,1.4854286088276479e-05
369,1.5076404180071591e-05
370,1.5621757079027146e-05
371,1.925287776571715e-05
372,1.5374163447206265e-05
373,1.9512276133480928e-05
374,1.5652706271560406e-05
375,2.4534520475870264e-05
376,1.4911904489178918e-05
377,2.1692861759224193e-05
378,1.5976127873314724e-05
379,1.75353042755105e-05
380,1.661440455183112e-05
381,1.799720584962131e-05
382,1.9048546371722267e-05
383,1.4679263236632051e-05
384,2.0640516107380414e-05
385,1.765357946028415e-05
386,1.785367642511854e-05
387,1.3698761016426976e-05
388,1.725899989122971e-05
389,1.346939481313842e-05
390,1.5953272165452598e-05
391,2.145053248985115e-05
392,1.1761559642093121e-05
393,1.7725962515832513e-05
394,1.9067552660989403e-05
395,1.911956467694812e-05
396,1.5484059007236112e-05
397,1.6578858606302274e-05
398,1.723217075374624e-05
399,2.0767134118241052e-05
400,1.8439111550558647e-05
401,1.737285596334587e-05
402,2.346980743133743e-05
403,1.8891165934622944e-05
404,1.6451151823177442e-05
405,1.932832597537483e-05
406,1.817418198494796e-05
407,1.790200165642724e-05
408,1.925924583398558e-05
409,1.9855073900459112e-05
