L,input_kappa,cross_wksz_g,cross_wksz_g_err,cross_wksz,cross_wksz_err,cross_bias,cross_bias_err
700.0,1.789999757570735e-08,1.7371233894015997e-08,3.7190976904047473e-09,1.737889071947684e-08,3.74353211592414e-09,-0.00010968121376377012,0.01335552819580108
740.0,1.6302615176138037e-08,1.4569248183488804e-08,3.766130192738331e-09,1.4568058179937732e-08,3.773746329045509e-09,-0.00044679647020581884,0.014584327885298311
780.0,1.5102968454331287e-08,1.5738202986508178e-08,4.2122582026138224e-09,1.5694066855234906e-08,4.2790221919250664e-09,-0.003895028712323582,0.01628498694985305
820.0,1.3777840144087223e-08,1.4237645962642472e-08,3.3997983479721598e-09,1.4283915654836983e-08,3.4574200547241065e-09,0.0027170349997724733,0.014552527883708487
860.0,1.2956918694767011e-08,1.2586807181957446e-08,3.0643185446022523e-09,1.2574427732004182e-08,3.078490357475258e-09,-0.0008905991519865659,0.020177181404887206
900.0,1.1975078013599233e-08,1.1776369931048803e-08,2.164364112398763e-09,1.1710374059780719e-08,2.1716393677154376e-09,-0.005537749850786352,0.019424474129407787
940.0,1.1277113534391535e-08,1.1034743780136032e-08,2.0325442166396332e-09,1.1073756059695686e-08,2.0740607643583185e-09,0.0029173917001419376,0.016010672670274912
980.0,1.0569426257325524e-08,1.1257518719547164e-08,2.373992678974489e-09,1.1294665316574051e-08,2.3754488717282283e-09,0.003403026791197883,0.0108862708356644
1020.0,9.865366411099416e-09,1.0312415447815258e-08,2.676627208462091e-09,1.0266002845119572e-08,2.618170550939801e-09,-0.0030351254810708594,0.0255332664155479
1060.0,9.375660903609502e-09,9.013202622450194e-09,2.785569435340219e-09,9.016432201833176e-09,2.7668423466844726e-09,0.0009946418250807202,0.018156684838837558
1100.0,8.766668599120673e-09,7.714514371667796e-09,1.928359076549331e-09,7.71842997645127e-09,1.9406179648447347e-09,-6.46798744086528e-05,0.02390767897678909
1140.0,8.309032730950781e-09,8.578349525042262e-09,2.456052237627088e-09,8.58987116032295e-09,2.475602561946664e-09,0.0020927218282351594,0.0225916956256918
1180.0,7.860160906955997e-09,7.759132341870913e-09,2.571807022052162e-09,7.6973935747301e-09,2.5807076464174613e-09,-0.007971692852425783,0.022888281067107292
1220.0,7.3805102240124264e-09,7.1381445821359905e-09,2.309847308210895e-09,7.093448384117418e-09,2.3338467714198494e-09,-0.006959132222788103,0.027176395672695527
1260.0,6.975480937794499e-09,6.869861486215645e-09,2.085151829867281e-09,6.876698883118092e-09,2.0775362386732495e-09,0.001722065563758881,0.02240146156534761
1300.0,6.7433616972430234e-09,6.105805243735447e-09,2.547243427258993e-09,6.1276905411383414e-09,2.5303492631899952e-09,0.012848945792243936,0.056874983587312376
1340.0,6.385873743861787e-09,6.498741856026046e-09,1.7944396630526844e-09,6.5347129201663835e-09,1.7812223778545357e-09,0.006796493232394487,0.01969549510591214
1380.0,6.0103100238481184e-09,5.015069290567864e-09,2.6721195356255915e-09,4.9853626117818456e-09,2.6512466761335415e-09,-0.14304911586251937,0.7134291388416159
1420.0,5.794082289305183e-09,5.689411765407837e-09,2.4005006775311346e-09,5.6869874707940244e-09,2.3884556471672585e-09,0.0017421165898446733,0.025288391961150125
1460.0,5.601959808278747e-09,5.439838933683569e-09,2.4303072348805616e-09,5.429924832881066e-09,2.3639615639468382e-09,0.006039153382804935,0.041244346706435335
1500.0,5.306480341312951e-09,5.462171284941577e-09,1.7824326883688648e-09,5.45581015840528e-09,1.8102928351210085e-09,-0.01025519808805093,0.0637499484227943
1540.0,5.086761352368109e-09,4.814848115969249e-09,1.7519007080355804e-09,4.813726031070566e-09,1.7689883918874406e-09,-0.035909009991273465,0.1502558878264962
