ell,Cl
366,4.5038841841699534e-08
367,4.574566642537557e-08
368,4.270332618568029e-08
369,4.522059154569857e-08
370,4.5073495446478384e-08
371,4.3341084160105034e-08
372,4.2996233455522714e-08
373,4.169044298344987e-08
374,4.3485877345759815e-08
375,4.413331728246225e-08
376,3.9958466546852705e-08
377,4.427652593969408e-08
378,4.213295850565695e-08
379,4.305825673866322e-08
380,4.2282872892984234e-08
381,4.85325637976084e-08
382,4.521249961655558e-08
383,4.603649690393717e-08
384,4.504891159173818e-08
385,4.107357384899013e-08
386,4.01326273882498e-08
387,4.129166553616256e-08
388,3.812642942116001e-08
389,4.116764625237735e-08
390,4.2614932785908085e-08
391,4.428003658876478e-08
392,4.2131990844933146e-08
393,4.262290707423604e-08
394,4.271021711189427e-08
395,3.921415267527159e-08
396,3.8384875152672705e-08
397,3.5407335522668574e-08
398,4.0750184867941926e-08
399,3.6398731640567876e-08
400,4.041813814916635e-08
401,4.315269963373919e-08
402,4.212986176101083e-08
403,3.8550164281691617e-08
404,3.8576099853446366e-08
405,3.9786817500163534e-08
406,3.764782660769369e-08
407,3.995036627551675e-08
408,3.559716407342318e-08
409,3.787258986634849e-08
410,3.6120165567415544e-08
411,3.714869795748289e-08
412,3.982265267211456e-08
413,3.9948536441160845e-08
414,3.703008159279446e-08
415,3.963720178147795e-08
416,3.636764085691182e-08
417,3.838068767309417e-08
418,3.356864769640894e-08
419,3.7819965296896605e-08
420,3.828045530101661e-08
421,3.7472406437682944e-08
422,3.467688190888897e-08
423,3.86084750464234e-08
424,3.5451739408187234e-08
425,3.686123412444786e-08
426,3.666281038677726e-08
427,3.748367292593206e-08
428,3.7260536322653e-08
429,4.024413250442679e-08
430,3.606167035604485e-08
431,3.436321415806816e-08
432,3.3427260856259454e-08
433,3.5071742238782024e-08
434,3.442150843709415e-08
435,3.1818666376306855e-08
436,3.651830921961796e-08
437,3.719582735123273e-08
438,3.688463253408826e-08
439,3.4332866886121636e-08
440,3.7419685250417935e-08
441,3.9982383366816704e-08
442,3.406435809000811e-08
443,3.264670780244775e-08
444,3.592961953243182e-08
445,3.666007064012295e-08
446,3.6561483223404256e-08
447,3.4967221811350095e-08
448,3.480346880714043e-08
449,3.1723707767555736e-08
450,3.120356916963713e-08
451,3.45760314747289e-08
452,3.394742077284409e-08
453,3.350535930904047e-08
454,3.3896796149156073e-08
455,3.4967136559987115e-08
456,3.778912357443344e-08
457,3.2918001378929924e-08
