ells,cls
268,2.121851528185764e-05
269,2.1238711003378242e-05
270,2.1258906724898847e-05
271,2.1141467656525087e-05
272,2.1024028588151327e-05
273,2.0906589519777567e-05
274,2.0789150451403808e-05
275,2.0671711383030048e-05
276,2.0554272314656288e-05
277,2.0436833246282528e-05
278,2.0319394177908768e-05
279,2.020195510953501e-05
280,2.0084516041161245e-05
281,1.9967076972787485e-05
282,1.9849637904413726e-05
283,1.9732198836039966e-05
284,1.9614759767666206e-05
285,1.9497320699292446e-05
286,1.9379881630918686e-05
287,1.9262442562544926e-05
288,1.9145003494171167e-05
289,1.9027564425797407e-05
290,1.8910125357423647e-05
291,1.9025528473330294e-05
292,1.9140931589236945e-05
293,1.9256334705143592e-05
294,1.937173782105024e-05
295,1.948714093695689e-05
296,1.9602544052863537e-05
297,1.9717947168770185e-05
298,1.9833350284676835e-05
299,1.9948753400583483e-05
300,2.0064156516490133e-05
301,2.017955963239678e-05
302,2.0294962748303428e-05
303,2.041036586421008e-05
304,2.0525768980116726e-05
305,2.0641172096023373e-05
306,2.0756575211930024e-05
307,2.087197832783667e-05
308,2.098738144374332e-05
309,2.110278455964997e-05
310,2.1218187675556617e-05
311,2.1177536376957556e-05
312,2.1136885078358496e-05
313,2.1096233779759436e-05
314,2.1055582481160375e-05
315,2.1014931182561315e-05
316,2.097427988396225e-05
317,2.093362858536319e-05
318,2.089297728676413e-05
319,2.085232598816507e-05
320,2.081167468956601e-05
321,2.077102339096695e-05
322,2.073037209236789e-05
323,2.068972079376883e-05
324,2.064906949516977e-05
325,2.0608418196570706e-05
326,2.0567766897971645e-05
327,2.0527115599372585e-05
328,2.0486464300773525e-05
329,2.0445813002174465e-05
330,2.0405161703575404e-05
331,2.0320741110923107e-05
332,2.023632051827081e-05
333,2.0151899925618513e-05
334,2.0067479332966212e-05
335,1.9983058740313915e-05
336,1.9898638147661617e-05
337,1.981421755500932e-05
338,1.9729796962357023e-05
339,1.9645376369704726e-05
340,1.956095577705243e-05
341,1.9476535184400128e-05
342,1.939211459174783e-05
343,1.9307693999095533e-05
344,1.9223273406443236e-05
345,1.913885281379094e-05
346,1.905443222113864e-05
347,1.8970011628486344e-05
348,1.8885591035834044e-05
349,1.8801170443181746e-05
350,1.871674985052945e-05
351,1.8649497321173304e-05
352,1.8582244791817157e-05
353,1.8514992262461012e-05
354,1.8447739733104867e-05
355,1.838048720374872e-05
356,1.8313234674392575e-05
357,1.824598214503643e-05
358,1.8178729615680282e-05
359,1.8111477086324138e-05
360,1.804422455696799e-05
361,1.7976972027611845e-05
362,1.79097194982557e-05
363,1.7842466968899553e-05
364,1.7775214439543408e-05
365,1.7707961910187264e-05
366,1.7640709380831116e-05
367,1.757345685147497e-05
368,1.7506204322118826e-05
369,1.743895179276268e-05
370,1.7371699263406534e-05
371,1.7363251838293254e-05
372,1.7354804413179978e-05
373,1.7346356988066698e-05
374,1.7337909562953418e-05
375,1.7329462137840138e-05
376,1.7321014712726858e-05
377,1.7312567287613582e-05
378,1.7304119862500302e-05
379,1.7295672437387022e-05
380,1.7287225012273746e-05
381,1.7278777587160466e-05
382,1.7270330162047186e-05
383,1.7261882736933906e-05
384,1.7253435311820626e-05
385,1.724498788670735e-05
386,1.723654046159407e-05
387,1.722809303648079e-05
388,1.7219645611367514e-05
389,1.7211198186254234e-05
