ells,cls
133,1.2628790671996395e-15
134,1.6679130177064332e-15
135,1.593592500989222e-15
136,2.0784692256755976e-15
137,7.845845678094778e-16
138,1.1140125638568191e-15
139,1.1027375408836543e-15
140,1.0423062828313696e-15
141,1.1763475136954814e-15
142,1.1525813402006945e-15
143,1.0985033579372855e-15
144,1.1995038015017566e-15
145,9.95912384917278e-16
146,1.1733340370244119e-15
147,1.2563375036507042e-15
148,1.1081612717234657e-15
149,1.1609387430867075e-15
150,1.2702944543752628e-15
151,7.949770919633781e-16
152,1.0135682913267942e-15
153,7.231089212189835e-16
154,9.24649837339928e-16
155,5.42994745623899e-16
156,8.819175039204071e-16
157,8.827760856393481e-16
158,7.69977336170211e-16
159,6.062558123421935e-16
160,6.712385740060839e-16
161,5.660939130638105e-16
162,7.633571864922886e-16
163,3.530047061187749e-16
164,5.739608603704694e-16
165,5.079370546518956e-16
166,8.126406147743596e-16
167,5.202195619148534e-16
168,3.8840153217473217e-16
169,4.9773563514634945e-16
170,4.3961130093977293e-16
171,2.8618498780921354e-16
172,4.581959945969134e-16
173,4.488138954527262e-16
174,4.2715259096084484e-16
175,3.3491887894366376e-16
176,4.454690073578122e-16
177,2.445835225196355e-16
178,4.902395594566433e-16
179,3.425768454679613e-16
180,3.2749532513248293e-16
181,3.787303616746262e-16
182,3.855290378531623e-16
183,3.6037515428714016e-16
184,3.803566291389705e-16
185,2.8577621637392115e-16
186,3.6779625333516607e-16
187,2.879955778128362e-16
188,2.87095253198969e-16
189,2.049639627609922e-16
190,2.993288808268384e-16
191,2.746044301071252e-16
192,2.5711160143956565e-16
193,3.0885587103269925e-16
194,2.3270486189732144e-16
195,2.0034367202605116e-16
196,2.6747645127691727e-16
197,2.265159582054163e-16
198,1.777988152371226e-16
199,1.9616701885493468e-16
200,2.0152637501547075e-16
201,2.0957150664360155e-16
202,2.0393665407402312e-16
203,1.7526262733524288e-16
204,1.6854533968294834e-16
205,1.807642348838956e-16
206,1.3512913761181662e-16
207,1.838262118384143e-16
208,1.6970158249788172e-16
209,1.8107368558027203e-16
210,2.2644535326490326e-16
211,1.6970218239744296e-16
212,1.2706390469878293e-16
213,1.6630003406555965e-16
214,1.098549160838268e-16
215,1.3609931683285026e-16
216,1.346122481953698e-16
217,1.2233501601341324e-16
218,1.3740690340740199e-16
219,1.2597916047438504e-16
220,1.4717578009923935e-16
221,1.3993329988938512e-16
222,1.3557442457636884e-16
223,1.0376101483237482e-16
224,9.562533657715081e-17
225,8.762103972200942e-17
226,1.2148261390476803e-16
227,1.1544435746443688e-16
228,9.16833636389446e-17
229,1.1847016638977484e-16
230,9.60806626723564e-17
231,9.375155978336025e-17
232,8.071849198073383e-17
233,9.058897869907658e-17
234,1.1706426205367334e-16
235,9.333657651563002e-17
236,1.0122078079861669e-16
237,7.724919732981577e-17
238,8.962031506171829e-17
239,7.21615538905749e-17
240,9.457372760722113e-17
241,6.813710879203253e-17
242,9.106076661592635e-17
243,6.358054701629792e-17
244,7.279450018299474e-17
245,7.326092194281556e-17
246,7.206067094358806e-17
247,1.0476620259542919e-16
248,8.228137232826078e-17
249,6.403118880674934e-17
250,8.318780611075458e-17
251,6.058186576560265e-17
252,6.82964018913506e-17
253,6.778775998400781e-17
254,6.86268190673767e-17
255,6.764625946258419e-17
256,4.3619938356878365e-17
257,6.477723502263923e-17
258,6.533226528904299e-17
259,6.496551837011192e-17
260,5.63435316519306e-17
261,4.2392940237348584e-17
262,5.637509880828531e-17
263,4.395769785513008e-17
264,5.739443779770709e-17
265,5.187630019351731e-17
266,5.087331549778031e-17
267,5.012297134149981e-17
268,4.861649985233723e-17
269,4.9006778477914245e-17
270,4.4096530878561657e-17
271,4.7978516988323075e-17
272,5.195114045433247e-17
273,3.872323365629764e-17
274,4.207329311424811e-17
275,3.7577310783479034e-17
276,4.632027160578977e-17
277,4.225158936163386e-17
278,3.885072693891003e-17
279,4.0947458729652874e-17
280,4.077198875801894e-17
281,3.00766272556997e-17
282,4.0337103431125033e-17
283,3.4391345759379436e-17
284,3.402462729605323e-17
285,3.1478692746959855e-17
286,2.899177107013196e-17
287,3.3158107409866566e-17
288,3.0358797954940857e-17
289,3.661279981545176e-17
290,2.3934370856694854e-17
291,2.952911339145206e-17
292,3.7103978316074924e-17
293,2.905242848609303e-17
294,2.864810311600929e-17
295,2.441149967214029e-17
296,3.1613646294421935e-17
297,2.392113781832827e-17
298,3.27800951065235e-17
299,2.4579230713523986e-17
300,2.5981672238478235e-17
301,2.602398539717834e-17
302,1.884546453163954e-17
303,2.2838157390832366e-17
304,2.2724688600889277e-17
305,2.2857053035049926e-17
306,2.4838763179295966e-17
307,1.8900369192852304e-17
308,2.0269399166630217e-17
309,1.948090740648137e-17
310,1.820518481233766e-17
