L,kszkap_x_cmbkap,kszkap_x_cmbkap_err,kszgkap_x_cmbkap,termB_bias,termB_bias_err
4020.0,9.788981782758351e-05,2.2005483424618644e-06,2.1815835905233257e-06,0.00027961614047322246,0.0021606255070985418
4060.0,0.00011263155485732823,3.137635745778136e-06,3.219918043705977e-06,-6.046757701502366e-05,0.0024629707117672013
4100.0,0.00012886152964723067,2.4410971895733474e-06,2.457764435774586e-06,-0.00047850590257020884,0.0027768716125818266
4140.0,0.0001473237429083611,3.548334997290952e-06,3.55958637551897e-06,0.00027079479393211713,0.0028024796999576683
4180.0,0.00016861164838288508,3.4642224876518475e-06,3.445255935823396e-06,-0.0007284251001338547,0.001986992009011947
4220.0,0.0001909266226817293,3.956602550360604e-06,3.881732038638856e-06,-0.0001620235907139856,0.0019699851507071916
4260.0,0.00021882486735833745,6.044149091856283e-06,5.884290512735878e-06,-6.72955913062265e-05,0.0026772856050668054
4300.0,0.0002494915177484365,4.086321675466391e-06,4.157109834358232e-06,0.0005326455043960673,0.002423752412863064
4340.0,0.0002834638547962401,5.794991317694962e-06,5.8145834064841474e-06,-0.0003270113518612939,0.0023060984492421803
4380.0,0.0003206706545204076,7.190113878171896e-06,7.225990430659713e-06,0.00038823343279993395,0.0015283281482416854
4420.0,0.0003678010062052812,8.02484286221229e-06,8.117793739947767e-06,8.915336264077008e-05,0.002150870736860961
4460.0,0.0004154687374362434,8.601409354979306e-06,8.422737874575432e-06,0.00016363384741144762,0.002721143633123031
