L,kszkap_x_cmbkap,kszkap_x_cmbkap_err,kszgkap_x_cmbkap,termB_bias,termB_bias_err
1340.0,6.706005697880637e-05,2.0924178922643435e-06,2.1034813089981544e-06,-0.0009143671750494903,0.002647431565418349
1380.0,6.230446291490871e-05,2.4962101881036447e-06,2.478006998266279e-06,-0.0006056931888215234,0.0028367404524248982
1420.0,5.7585045777753216e-05,1.888342507135518e-06,1.9048984257880977e-06,-0.00069122198472419,0.003486527876640761
1460.0,5.510873026209786e-05,1.7151923695856012e-06,1.7279661503763211e-06,-0.00041157549037332345,0.0020237811003486214
1500.0,5.33186050134904e-05,1.988715447641829e-06,1.9619904002354454e-06,-0.0001158404774546757,0.0033505555026801686
1540.0,5.184398286968674e-05,1.1972014214439021e-06,1.1847383392003967e-06,-0.0009672016952702258,0.0031253235850712243
1580.0,5.163492095365232e-05,1.3780121534634932e-06,1.3588062033773716e-06,0.000607095841653188,0.002402007316288749
1620.0,5.1611355682915674e-05,1.6768755601249122e-06,1.6836042763739844e-06,-0.0005523218006142722,0.0023303895853578078
1660.0,5.124957400287871e-05,2.55880161678792e-06,2.563592562275129e-06,-0.0007399924217417158,0.0025040518498000374
1700.0,5.0579072101357414e-05,2.0742257752279535e-06,2.077642459664772e-06,-0.0010881564139035352,0.002231074636637497
1740.0,5.052266321305682e-05,1.3437304580322886e-06,1.3285363532990131e-06,0.000800378291828862,0.002662889743768579
1780.0,4.989604229478661e-05,1.8498103124363873e-06,1.8550094556533677e-06,0.00037464472143461266,0.0024825117032121866
1820.0,5.115111762315329e-05,1.7401017750982834e-06,1.753135759763886e-06,-0.00024719523752830336,0.0027120531259578226
1860.0,5.318362737867017e-05,1.9492063389476366e-06,1.956758783951654e-06,0.0001085911490603173,0.0026840983575122626
1900.0,5.4091500213695315e-05,1.7037513510198673e-06,1.702361524246026e-06,5.96312822276935e-06,0.002269222648763513
1940.0,5.583211103652986e-05,1.5147282294107914e-06,1.504031509920067e-06,0.0002516081410724167,0.002166276191198257
1980.0,5.685769671439151e-05,1.7063051570353865e-06,1.7164164800829923e-06,0.0001972278810868055,0.0017134941073665639
2020.0,5.7633566154761366e-05,1.7091637069712517e-06,1.7283298543631981e-06,-0.0006443872406460074,0.001781930646629311
2060.0,5.902241442820529e-05,2.082557156640207e-06,2.0714190281742052e-06,-0.00048225897410180936,0.001960112086447175
2100.0,6.121406403994868e-05,2.3683825351138496e-06,2.3564008733238615e-06,-0.000197617923096236,0.0020109007124932544
2140.0,6.560607295705985e-05,2.353446469249675e-06,2.364283416652681e-06,-0.0003226054199272498,0.0014540133396315597
2180.0,7.213438409059285e-05,2.1890402754171034e-06,2.1996409020848956e-06,-0.00017484726415474476,0.0019435233081799962
2220.0,8.043294829628926e-05,2.3007811916324305e-06,2.3174999344818222e-06,0.0001054912231042272,0.001260503592815396
2260.0,9.126133797888202e-05,2.8449175961876944e-06,2.862996319983382e-06,-0.00019361015893420473,0.0014784210568296705
2300.0,0.0001019300084115208,3.6032358240743157e-06,3.6144820083764505e-06,-0.0001414191831904996,0.0013717676040699367
2340.0,0.00011187388165102765,3.4562881592703587e-06,3.4718692718786897e-06,-0.0004463674840462605,0.0013268441763611397
2380.0,0.00012285278106676078,3.879216439194715e-06,3.891234994794442e-06,-0.00042275875353919677,0.0014531963459662018
2420.0,0.0001360362961156505,3.068116717861238e-06,3.0988932094394906e-06,-0.00010908390623300124,0.0012229391612618276
2460.0,0.0001530926663159409,3.907924419834959e-06,3.940600524476413e-06,-5.142147222926411e-05,0.0011605736445076899
2500.0,0.00017000170386546814,4.960819986820456e-06,4.966214196107739e-06,-0.00016660657351425009,0.001403364526936033
2540.0,0.00018944119375200713,4.879068871053605e-06,4.901811550434285e-06,-0.00014360642559132388,0.0010604723062086986
2580.0,0.00020510622404371832,5.262822319730852e-06,5.306180103606425e-06,-0.0005438978736599002,0.001199586225476348
2620.0,0.00021406186859463066,5.979988910793346e-06,5.986519103849374e-06,-0.00026282607245203625,0.0012295652965282093
2660.0,0.000222523631318476,5.08399772245396e-06,5.058470898645424e-06,-0.00026120817036935623,0.0013163176842724068
2700.0,0.00023342528252765732,5.603045793912126e-06,5.6038221514597585e-06,-0.00017380614457175722,0.0009946177994503993
2740.0,0.0002572352061043683,6.420407157545203e-06,6.451578816783697e-06,0.0001449580864008973,0.0012389523831311444
2780.0,0.00029209409251704775,1.0480098004264717e-05,1.0503775338625113e-05,-0.0002198587810171709,0.000973674290436982
2820.0,0.0003287514870672589,8.51307403991473e-06,8.498606040453735e-06,0.00018599686349115164,0.0010666603433848096
2860.0,0.0003588490401559797,8.669044202165812e-06,8.719367819346215e-06,-0.00018382200297030208,0.0013951569894900782
2900.0,0.00036461563831476567,1.003561058539147e-05,1.0052482174562464e-05,-0.00014161441154965758,0.0008369835328363014
2940.0,0.0003365195999852108,9.099670003911507e-06,9.09113217600344e-06,-0.00012764826145630087,0.0010874310106459206
