,ell,CL
221,221,0.6704801843103406
222,222,0.616403929137319
223,223,0.7337099023999272
224,224,0.665338480488485
225,225,0.7000102354329613
226,226,0.7333023099130352
227,227,0.6973948774865751
228,228,0.6328026090398899
229,229,0.6635330081972746
230,230,0.5569226145553845
231,231,0.6211084339204269
232,232,0.6096397515565805
233,233,0.722411057566417
234,234,0.7260010437652027
235,235,0.6385924164796709
236,236,0.6330465994659499
237,237,0.591673868894375
238,238,0.5793437278536311
239,239,0.5969855353637893
240,240,0.5749469498847786
241,241,0.5311219539891671
242,242,0.5720597598449607
243,243,0.5711931925549829
244,244,0.5771257132203234
245,245,0.5994116756503604
246,246,0.5214775913647278
247,247,0.5605727428910048
248,248,0.5456963500054347
249,249,0.5079801144700262
250,250,0.47573379647621705
251,251,0.4792640666095577
