ell,kap_cl
1827,3.887556744272772e-09
1828,3.9503471113458215e-09
1829,4.04060395332976e-09
1830,3.9200230390846855e-09
1831,3.801460984462982e-09
1832,3.985051276132509e-09
1833,3.827063508614028e-09
1834,3.8680680369048786e-09
1835,3.745955349030357e-09
1836,3.800492457774584e-09
1837,3.737340879264781e-09
1838,3.864644012497177e-09
1839,3.859521193427628e-09
1840,3.846509439587121e-09
1841,3.6381646697849513e-09
1842,3.913447565169281e-09
1843,3.889538418089001e-09
1844,3.9884535429789965e-09
1845,3.810681813154421e-09
1846,3.7710914190383316e-09
1847,3.730821237910868e-09
1848,3.6842347460561956e-09
1849,3.73679252026372e-09
1850,3.8531578800874735e-09
1851,3.900046392624248e-09
1852,3.797178879597565e-09
1853,3.889158117367925e-09
1854,3.8871080660953945e-09
1855,3.6451480010808175e-09
1856,3.930969077176758e-09
1857,3.807249175325138e-09
1858,3.8194785009807166e-09
1859,3.754252758929245e-09
1860,3.6989673112776197e-09
1861,3.776437114004314e-09
1862,3.9129687641187e-09
1863,3.6823268874173213e-09
1864,3.869427298256428e-09
1865,3.632381282570806e-09
1866,3.5821539488101426e-09
1867,3.934321366443187e-09
1868,3.6970321100878066e-09
1869,3.743023303006481e-09
1870,3.578271418831527e-09
1871,3.752199745931515e-09
1872,3.744296821052886e-09
1873,3.816692691922503e-09
1874,3.584394630355592e-09
1875,3.771134963261312e-09
1876,3.633991384353867e-09
1877,3.834794336240597e-09
1878,3.7530584695393355e-09
1879,3.7711322005949805e-09
1880,3.6328365167566065e-09
1881,3.6251410253686604e-09
1882,3.6361504581727217e-09
1883,3.731533076772548e-09
1884,3.6474783280296662e-09
1885,3.568941123000163e-09
1886,3.6652548860800134e-09
1887,3.599638006436564e-09
1888,3.7060389013654653e-09
1889,3.62491478747615e-09
1890,3.7542542744737804e-09
1891,3.7183619358958064e-09
1892,3.724774992917283e-09
1893,3.6357423324069028e-09
1894,3.766390837490927e-09
1895,3.5422744837813885e-09
1896,3.5975634155552604e-09
1897,3.458579421024431e-09
1898,3.653782231729189e-09
1899,3.643640459300309e-09
1900,3.6445592089796943e-09
1901,3.561116916915927e-09
1902,3.76936229158044e-09
1903,3.762358497644268e-09
